lng,lat,spp,name,spp_rtm,spp_dam
-99.666696,33.319707,-28.880000000000003,SALVTION_GEN,42.93,71.81
-99.564551,31.228544,-28.160000000000004,RN_RTS1,43.18,71.34
-99.552687,33.289897,-28.880000000000003,HORSECRK_RN,42.93,71.81
-99.542699,32.530972,-28.85000000000001,LNCRK_ALL,43.08,71.93
-99.508432,27.566927,-8.490000000000009,LARDVFTN_G4,70.85,79.34
-99.386387,33.63333,-29.049999999999997,VERTIGO_UN1,43,72.05
-99.368737,33.673808,-29.049999999999997,GPASTURE_ALL,43,72.05
-99.367467,34.293473,-29.14999999999999,BLSMT1_5_A_6,42.95,72.1
-99.278334,32.824168,-28.950000000000003,HWF_HWFG1,43.05,72
-99.175851,34.082592,-29.210000000000008,OKLA_OKLA_G1,42.94,72.15
-99.161754,26.558077,-3.1799999999999926,FAL_FALCONG1,77.76,80.94
-99.117156,34.101749,-29.210000000000008,ELECTRAW_1_2,42.94,72.15
-99.091855,28.92777,-14.21,PEAR_PEARS_1,55.54,69.75
-99.005594,27.506281,-2.780000000000001,EXGNWTL_1,77.51,80.29
-98.931877,27.358092,-4.1699999999999875,BORDAS_345,74.4,78.57
-98.909318,27.191033,-5.310000000000002,EXGNSND_RN,74.96,80.27
-98.88706,29.985029,-25.230000000000004,HHGT_KENDAL,45.75,70.98
-98.843784,27.608743,-2.780000000000001,CEDROHI_CHW1,77.51,80.29
-98.752121,33.395958,-29.32,TRINITY_ALL,42.93,72.25
-98.686627,31.847096,-29.54999999999999,LGW_UNIT_ALL,41.27,70.82
-98.623858,31.688285,-28.689999999999998,FTWIND_UNIT1,42.67,71.36
-98.612325,26.472989,-1.7800000000000011,LV3_RN,79.6,81.38
-98.61206,33.134983,-29.32,GRSES_UNIT2,42.93,72.25
-98.592503,33.863559,-29.319999999999993,WFCOGEN_13,42.92,72.24
-98.575478,29.351602,-25.79,LEONLCPCT1_2,47.73,73.52
-98.570491,33.509188,-29.299999999999997,BCATWD_WD_1,42.91,72.21
-98.56649,31.43098,-33.3,GWEC_G1,36.09,69.39
-98.522287,33.540457,-29.46999999999999,WNDTS2_UNIT1,42.88,72.35
-98.517847,26.499807,-1.7800000000000011,LV5_UNIT1,79.6,81.38
-98.476409,28.70439,-18.729999999999997,SAN_SANMIGG1,54.29,73.02
-98.46429,32.33178,-28.540000000000006,FLTCK_SSI,42.69,71.23
-98.444769,29.271846,-25.740000000000002,RN_OCI_ALAMO,47.82,73.56
-98.417931,30.751282,-38.870000000000005,BUCHAN_ALL,28.74,67.61
-98.396504,26.473188,-1.8599999999999994,MIRASOLE_GEN,77.01,78.87
-98.385177,30.731403,-39.08,INKS_INKS_G1,28.45,67.53
-98.381978,29.256832,-22.880000000000003,BRA_AVR1_CT2,48.26,71.14
-98.374899,30.5539,-41.06,FERGCC_GT1_1,25.92,66.98
-98.37243,33.20315,-29.47,SENATEWD_1,42.89,72.36
-98.363595,33.073455,-29.269999999999996,BRTSW_BCW1,42.81,72.08
-98.360133,33.536155,-29.479999999999997,SHANNONW_RN,42.88,72.36
-98.353682,32.376956,-28.54,BUCKTHRN_RN,42.65,71.19
-98.338379,30.556077,-41.59,WIR_WIRTZ_G1,25.24,66.83
-98.319737,29.308852,-22.810000000000002,CALAVER_JKS1,48.59,71.4
-98.310089,32.658481,-28.859999999999992,MIL_MILG1_2,42.71,71.57
-98.256406,30.556606,-26.410000000000004,MARBFA,44.68,71.09
-98.217426,33.113825,-30.009999999999998,KEECHI_U1,42.76,72.77
-98.190107,26.340669,1.5300000000000011,NED_NEDIN_G1,81.1,79.57
-98.177255,26.450616,3,REDGATE_ALL,82.96,79.96
-98.175072,26.342236,1.5200000000000102,DUKE_GST1CCU,81.12,79.6
-98.148424,29.620519,-24.39,GUADG_CCU1,46.94,71.33
-97.989828,29.781215,-25.589999999999996,HAYSEN1_2,45.54,71.13
-97.973631,29.593262,-25.04,RIONOG_CT1,46.21,71.25
-97.956,33.102714,-29.710000000000008,JCKCNTY2_CT3,42.83,72.54
-97.909898,33.059622,-29.72,WCPP_CT1,42.83,72.55
-97.907464,30.39228,-26.75999999999999,MAR_MARSFOG1,44.31,71.07
-97.78547,32.298759,-29.009999999999998,CPSES_UNIT1,42.76,71.77
-97.784797,30.293931,-26.979999999999997,AUSTPL_ALL,44.02,71
-97.731919,32.333825,-29.199999999999996,WHCCS_CT1_ST,42.76,71.96
-97.699502,32.403234,-28.000000000000007,DC2SES_ALL,42.73,70.73
-97.69124,26.477743,2.950000000000003,REDFISH_ALL,87.92,84.97
-97.685136,30.58568,-27.08,RHESS_1,43.67,70.75
-97.636329,26.500956,1.240000000000009,BBREEZE_1_2,81.98,80.74
-97.61333,26.27744,1.3900000000000006,LV1A_LV1B,83.01,81.62
-97.613073,30.209943,-26.989999999999995,SANDHSYD1_2,44,70.99
-97.612682,30.304289,-27.119999999999997,DECKER_DPG1,43.87,70.99
-97.599773,27.000141,1.289999999999992,PENA_ALL,84.35,83.06
-97.590988,27.810305,45.010000000000005,OXY_PUN1,130.5,85.49
-97.549784,30.146278,-27.089999999999996,BASTEN_CCU,43.77,70.86
-97.542153,27.125187,1.289999999999992,TGW_T1_T2,84.35,83.06
-97.535547,27.601384,-11.800000000000011,SANTACRU_ALL,98.32,110.12
-97.528657,27.103234,1.289999999999992,BAFFIN_ALL,84.35,83.06
-97.521524,25.913547,-4.719999999999999,SIL_SILAS_10,82.12,86.84
-97.507208,30.235327,-27.590000000000003,WEBBER_WS_T1,43.34,70.93
-97.465774,26.194815,1.3200000000000074,CAMWIND_RN,82.68,81.36
-97.429057,27.81204,43.81000000000002,CCEC_GT1,128.61,84.8
-97.427082,33.719111,-30.300000000000004,WHTTAIL_WR1,42.76,73.06
-97.424589,27.950722,48.870000000000005,COTTON_PAP2,130.27,81.4
-97.420862,27.81989,85.28,NUE_NUECESG7,128.63,43.35
-97.407381,32.399635,-26.229999999999997,TEN_CT1_STG,42.73,68.96
-97.386761,33.722847,-30.340000000000003,TYLRWIND_RN,42.75,73.09
-97.371158,31.866411,-26,WND_WHITNEY,42.75,68.75
-97.370969,26.117081,1.2000000000000028,RN_SR_WIND1,82.33,81.13
-97.357824,31.859464,-26.65,BOSQ_BSQSU_5,42.77,69.42
-97.31551,31.05634,-27.240000000000002,PANDA_T1_CT1,42.96,70.2
-97.310196,27.607441,-69.62,B_DAVIS_3,127.06,196.68
-97.270469,30.147132,-9.600000000000001,LOS_LOSTPGT1,42.89,52.49
-97.241628,27.886542,48.349999999999994,INGLCOSW_STG,129.66,81.31
-97.218583,32.727726,-36.940000000000005,HLSES_UNIT3,42.74,79.68
-97.213174,28.71506,-50.95,COL_COLETOG1,22.03,72.98
-97.210544,33.216328,-30.389999999999993,RN_DEC_GSU0,42.77,73.16
-97.135099,28.894945,53.08,RAYBURN_G1_2,137.04,83.96
-97.106452,33.197636,-30.410000000000004,SPNC_SPNCE_4,42.77,73.18
-97.068063,30.565063,-27.299999999999997,SDSES_PUN1,43.11,70.41
-97.054138,32.430879,-26.239999999999995,MDANP_CT1_2,42.7,68.94
-97.009991,28.787301,-100.23,VIC_VICTORG5,-27.37,72.86
-96.987361,30.038281,-32.26,WIPOPA_1_2,39.74,72
