lng,lat,value,name
-102.670416,34.677698,1000,MARIAH_ALL
-101.280114,32.024824,1000,MCDLD_FCSBW1
-96.936722,32.725505,1000,MCSES_UNIT6
-97.054138,32.430879,1000,MDANP_CT1_2
-101.683502,32.669103,1000,MESQCRK_ALL
-100.915765,32.33599,1000,MGSES_CT123
-100.633457,35.654473,1000,MIAM1_G1_G2
-98.310089,32.658481,1000,MIL_MILG1_2
-95.034015,29.667572,500,MIRAGE_G1
-98.396504,26.473188,1000,MIRASOLE_GEN
-94.568499,32.259658,1000,MLSES_UNIT1
-95.038249,33.090748,1000,MNSES_UNIT1
-100.531169,32.994719,1000,MOZART_WIND1
-100.972712,33.751761,1000,MWEC_G1
-94.900664,31.832427,1000,NACPW_UNIT1
-101.530192,31.766443,1000,NBOHR_RN
-96.771099,28.511309,500,NCARBID_PUN1
-98.190107,26.340669,1000,NED_NEDIN_G1
-97.420862,27.81989,-250,NUE_NUECESG7
-102.796692,32.044332,1000,NWF_NWF1
-96.487141,31.182416,1000,OGSES_1
-99.175851,34.082592,1000,OKLA_OKLA_G1
-96.452393,33.067991,1000,OLIN_OLING_1
-101.37874,32.106742,1000,OWF_OWF
-97.590988,27.810305,500,OXY_PUN1
-96.615075,33.580987,1000,PANDA_S_CT1
-97.31551,31.05634,1000,PANDA_T1_CT1
-102.963513,31.585285,1000,PB2SES_CT1
-101.469954,32.137619,1000,PC_NORTH_1
-99.091855,28.92777,1000,PEARSA_1_24
-97.599773,27.000141,1000,PENA_ALL
-101.15380999999999,35.40226,1000,PH1_UNIT1_2
-95.63046,29.483665,500,PNPI_GT2_RN
-95.25575,29.697751,500,PR_PR_G2
-95.111488,29.816829,500,PSA_PUN1
-100.728414,32.53232,1000,PYR_PYRON1
-102.315635,31.84202,1000,QALSW_ALL
-97.135099,28.894945,500,RAYBURN_G1_2
-101.22708,32.911705,1000,RDCAN_RDCNY1
-97.69124,26.477743,1000,REDFISH_ALL
-98.177255,26.450616,1000,REDGATE_ALL
-102.831362,30.894621,1000,REROCK_ALL
-97.685136,30.58568,1000,RHESS_1
-102.731278,30.988194,1000,RIGGIN_UNIT1
-97.973631,29.593262,1000,RIONOG_CT1
-97.210544,33.216328,1000,RN_DEC_GSU0
-102.680928,32.04168,1000,RN_ECEC_HOLT
-98.444769,29.271846,1000,RN_OCI_ALAMO
-99.564551,31.228544,1000,RN_RTS1
-97.370969,26.117081,1000,RN_SR_WIND1
-101.479464,32.169353,1000,RN_TOSBATT
-101.527459,35.214192,1000,ROUTE66_RN
-101.406179,31.689029,1000,RSK_RN
-99.666696,33.319707,1000,SALVTION_GEN
-98.476409,28.70439,1000,SAN_SANMIGG1
-97.613073,30.209943,1000,SANDHSYD1_2
-97.535547,27.601384,2000,SANTACRU_ALL
-94.989969,31.939768,1000,SC2SES_UNIT1
-96.956716,31.475354,1000,SCES_UNIT1
-95.743663,29.078007,500,SCLP_PUN1
-97.068063,30.565063,1000,SDSES_PUN1
-98.37243,33.20315,1000,SENATEWD_1
-101.360276,32.240606,1000,SGM_SIGNALMT
-98.360133,33.536155,1000,SHANNONW_RN
-97.521524,25.913547,1000,SIL_SILAS_10
-102.291255,30.885117,1000,SIRIUS_UNIT1
-95.039467,29.701202,500,SJS_SJS_G1
-96.571871,29.535312,1000,SKY1
-95.130901,29.715364,500,SL_PUN1
-100.888395,34.987137,1000,SLTFRK_UN1_2
-99.673936,33.061829,1000,SOLARA_UNIT1
-101.37118100000001,34.147577,1000,SPLAIN1_RN
-101.370029,34.083655,1000,SPLAIN2_RN
-97.106452,33.197636,1000,SPNC_SPNCE_4
-102.298526,31.23131,1000,SPTX12B_RN
-95.059882,29.726801,500,SRB_SRB_G1
-101.592308,32.946879,1000,SRWE1_UNIT1
-102.1834,35.22615,1000,SSPURT_WIND1
-96.126661,33.170393,1000,STEAM_ENG123
-96.0492,28.795135,500,STP_STP_G1
-100.211385,32.415988,1000,STWF_T1
-102.12019600000001,31.084274,1000,SW_M_SW_MESA
-101.838132,32.239915,1000,SWEC_G1
-100.35102,32.340995,1000,SWEETWN2_2_4
-100.322188,32.456486,1000,SWEETWND_1
-100.499177,32.303601,1000,SWTWN4_WND45
-95.39812,29.703834,500,TC_PUN1
-97.407381,32.399635,1000,TEN_CT1_STG
-94.620088,32.018188,1000,TGCCS_ALL
-95.899124,29.263829,500,TGF_TGFGT
-97.542153,27.125187,1000,TGW_T1_T2
-95.533039,29.942229,1000,THW_1_CCU
-100.659161,32.440943,1000,TKWSW_CHAMP
-100.67276,32.494611,1000,TKWSW_ROSCOE
-96.695439,31.092056,1000,TNP_TNP_O_1
-95.566827,33.724396,1000,TNSKA_CCU
-100.220527,32.439597,1000,TRENT_TRENT
