lng,lat,value,name
-97.542153,27.125187,30,TGW_T1_T2
-95.533039,29.942229,30,THW_1_CCU
-100.659161,32.440943,30,TKWSW_CHAMP
-100.67276,32.494611,30,TKWSW_ROSCOE
-96.695439,31.092056,30,TNP_TNP_O_1
-95.566827,33.724396,30,TNSKA_CCU
-100.220527,32.439597,30,TRENT_TRENT
-98.752121,33.395958,30,TRINITY_ALL
-96.101578,32.125833,30,TRSES_UNIT6
-100.256468,32.213737,30,TTWEC_G1
-94.943134,29.3787,30,TXCTY_CTA
-97.386761,33.722847,30,TYLRWIND_RN
-94.947715,29.37874,30,UCC_COG_PUN1
-99.386387,33.63333,30,VERTIGO_UN1
-97.009991,28.787301,40,VIC_VICTORG5
-96.833846,28.570746,40,VISTRON_PUN1
-96.318088,33.563556,30,VLSES_UNIT3
-100.992187,33.745055,30,WAKEWE_ALL
-95.635131,29.478021,30,WAP_WAPGT_1
-97.909898,33.059622,30,WCPP_CT1
-97.507208,30.235327,30,WEBBER_WS_T1
-101.132693,33.95036,30,WEC_WECG1
-98.592503,33.863559,30,WFCOGEN_13
-97.731919,32.333825,30,WHCCS_CT1_ST
-97.427082,33.719111,30,WHTTAIL_WR1
-96.987361,30.038281,30,WIPOPA_1_2
-98.338379,30.556077,30,WIR_WIRTZ_G1
-97.371158,31.866411,30,WND_WHITNEY
-98.522287,33.540457,30,WNDTS2_UNIT1
