DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
11/15/2018,01:00,AEEC, 27.99,N
11/15/2018,01:00,AMISTAD_ALL, 27.67,N
11/15/2018,01:00,AMOCOOIL_CC1, 28.37,N
11/15/2018,01:00,AMOCOOIL_CC2, 28.37,N
11/15/2018,01:00,AMOCO_PUN1, 28.37,N
11/15/2018,01:00,AMOCO_PUN2, 28.37,N
11/15/2018,01:00,AMO_AMOCO_1, 28.37,N
11/15/2018,01:00,AMO_AMOCO_2, 28.37,N
11/15/2018,01:00,AMO_AMOCO_5, 28.37,N
11/15/2018,01:00,AMO_AMOCO_G1, 28.37,N
11/15/2018,01:00,AMO_AMOCO_G2, 28.37,N
11/15/2018,01:00,AMO_AMOCO_G3, 28.37,N
11/15/2018,01:00,AMO_AMOCO_S1, 28.37,N
11/15/2018,01:00,AMO_AMOCO_S2, 28.37,N
11/15/2018,01:00,ANACACHO_ANA, 27.87,N
11/15/2018,01:00,ATK_ATKINSG7, 28.26,N
11/15/2018,01:00,AUSTPL_ALL, 27.91,N
11/15/2018,01:00,AZ_ALL, 27.92,N
11/15/2018,01:00,BAC_RN_ALL, 28.27,N
11/15/2018,01:00,BAFFIN_ALL, 28.1,N
11/15/2018,01:00,BASTEN_CC1, 27.89,N
11/15/2018,01:00,BASTEN_CCU, 27.89,N
11/15/2018,01:00,BBREEZE_1_2, 28.14,N
11/15/2018,01:00,BBSES_UNIT1, 27.84,N
11/15/2018,01:00,BBSES_UNIT2, 27.84,N
11/15/2018,01:00,BCATWD_WD_1, 27.98,N
11/15/2018,01:00,BFM_HYD_ST1, 27.99,N
11/15/2018,01:00,BLSMT1_5_A_6, 27.98,N
11/15/2018,01:00,BOOTLEG_UN1, 27.04,N
11/15/2018,01:00,BORDAS_345, 28.1,N
11/15/2018,01:00,BOSQUESW_CC1, 27.86,N
11/15/2018,01:00,BOSQUESW_CC2, 27.87,N
11/15/2018,01:00,BOSQ_BSQSU_5, 27.87,N
11/15/2018,01:00,BOSQ_BSQS_12, 27.87,N
11/15/2018,01:00,BOSQ_BSQS_34, 27.86,N
11/15/2018,01:00,BRAUNIG_CC1, 27.85,N
11/15/2018,01:00,BRAUNIG_VHB1, 27.95,N
11/15/2018,01:00,BRAUNIG_VHB2, 27.95,N
11/15/2018,01:00,BRAUNIG_VHB3, 27.87,N
11/15/2018,01:00,BRAZ_WND_ALL, 28.04,N
11/15/2018,01:00,BRA_AVR1_CT2, 27.85,N
11/15/2018,01:00,BRA_AVR_CST1, 27.85,N
11/15/2018,01:00,BRISCOE_WIND, 27.99,N
11/15/2018,01:00,BRTSW_BCW1, 27.96,N
11/15/2018,01:00,BR_VHB6CT5_6, 27.95,N
11/15/2018,01:00,BR_VHB6CT7_8, 27.95,N
11/15/2018,01:00,BSF_PUN1, 27.72,N
11/15/2018,01:00,BSF_PUN2, 27.72,N
11/15/2018,01:00,BTE_BTE_G1, 27.76,N
11/15/2018,01:00,BTE_BTE_G2, 27.76,N
11/15/2018,01:00,BTE_BTE_G3, 27.76,N
11/15/2018,01:00,BTE_BTE_G4, 27.76,N
11/15/2018,01:00,BTE_CC1, 27.76,N
11/15/2018,01:00,BTE_PUN1, 27.76,N
11/15/2018,01:00,BTE_PUN2, 27.76,N
11/15/2018,01:00,BUCHAN_ALL, 27.53,N
11/15/2018,01:00,BUCKTHRN_RN, 27.93,N
11/15/2018,01:00,BUFF_GAP_ALL, 27.96,N
11/15/2018,01:00,BULLCRK_1_2, 28.07,N
11/15/2018,01:00,BVE_CC1, 27.76,N
11/15/2018,01:00,BVE_UNIT1, 27.76,N
11/15/2018,01:00,BVE_UNIT2, 27.76,N
11/15/2018,01:00,BVE_UNIT3, 27.76,N
11/15/2018,01:00,BYU_BYU_1, 27.98,N
11/15/2018,01:00,BYU_BYU_12, 27.98,N
11/15/2018,01:00,BYU_BYU_34, 27.98,N
11/15/2018,01:00,BYU_BYU_G8, 27.98,N
11/15/2018,01:00,BYU_CC1, 27.98,N
11/15/2018,01:00,BYU_PUN1, 27.98,N
11/15/2018,01:00,BYU_PUN2, 27.98,N
11/15/2018,01:00,BYU_PUN3, 27.98,N
11/15/2018,01:00,BYU_PUN4, 27.98,N
11/15/2018,01:00,B_DAVIS_3, 34.51,N
11/15/2018,01:00,B_DAVIS_4, 34.51,N
11/15/2018,01:00,B_DAVIS_CC1, 34.51,N
11/15/2018,01:00,B_D_B_DAVIG1, 34.51,N
11/15/2018,01:00,B_D_B_DAVIG2, 34.51,N
11/15/2018,01:00,CABEZON_ALL, 28.25,N
11/15/2018,01:00,CALAVER_JKS1, 27.85,N
11/15/2018,01:00,CALAVER_JKS2, 27.85,N
11/15/2018,01:00,CALAVER_JTD1, 27.86,N
11/15/2018,01:00,CALAVER_JTD2, 27.86,N
11/15/2018,01:00,CALAVER_OWS1, 27.95,N
11/15/2018,01:00,CALAVER_OWS2, 27.95,N
11/15/2018,01:00,CALHOUN_ALL, 32.54,N
11/15/2018,01:00,CALLAHA_WND1, 27.96,N
11/15/2018,01:00,CAL_ALL, 27.81,N
11/15/2018,01:00,CAL_CALGT1, 27.81,N
11/15/2018,01:00,CAL_CALSTG1, 27.81,N
11/15/2018,01:00,CAL_CC1, 27.81,N
11/15/2018,01:00,CAL_PUN1, 27.81,N
11/15/2018,01:00,CAL_PUN2, 27.81,N
11/15/2018,01:00,CAMWIND_RN, 28.18,N
11/15/2018,01:00,CAPRIDG4_CR4, 27.93,N
11/15/2018,01:00,CAPRIDGE_ALL, 27.93,N
11/15/2018,01:00,CARBN_BSP_1, 28.11,N
11/15/2018,01:00,CASL_GAP_UN1, 26.49,N
11/15/2018,01:00,CBECII_1, 27.75,N
11/15/2018,01:00,CBECII_2, 27.75,N
11/15/2018,01:00,CBECII_CC3, 27.75,N
11/15/2018,01:00,CBEC_ALL, 27.67,N
11/15/2018,01:00,CBEC_CC1, 27.67,N
11/15/2018,01:00,CBEC_CC2, 27.67,N
11/15/2018,01:00,CBY4_ALL, 27.76,N
11/15/2018,01:00,CBY4_CC1, 27.76,N
11/15/2018,01:00,CBY_CBY_G1, 27.76,N
11/15/2018,01:00,CBY_CBY_G2, 27.71,N
11/15/2018,01:00,CCEC_CC1, 33.23,N
11/15/2018,01:00,CCEC_GT1, 33.23,N
11/15/2018,01:00,CCEC_GT2, 33.23,N
11/15/2018,01:00,CCEC_PUN1, 33.23,N
11/15/2018,01:00,CCEC_PUN2, 33.23,N
11/15/2018,01:00,CCEC_ST1, 33.23,N
11/15/2018,01:00,CEDROHI_CHW1, 28.73,N
11/15/2018,01:00,CFLATS_UNIT, 27.85,N
11/15/2018,01:00,CHAMON_UN1, 27.8,N
11/15/2018,01:00,CHAMON_UN2, 27.8,N
11/15/2018,01:00,CHEDPW_GT2, 27.79,N
11/15/2018,01:00,CHE_CC1, 27.8,N
11/15/2018,01:00,CHE_LYD, 27.82,N
11/15/2018,01:00,CHE_LYD2, 27.82,N
11/15/2018,01:00,CHE_PUN1, 27.82,N
11/15/2018,01:00,CHE_PUN2, 27.82,N
11/15/2018,01:00,COL_COLETOG1, 27.87,N
11/15/2018,01:00,COTPLNS_RN, 27.99,N
11/15/2018,01:00,COTTON_PAP2, 33.57,N
11/15/2018,01:00,CPSES_UNIT1, 27.95,N
11/15/2018,01:00,CPSES_UNIT2, 27.95,N
11/15/2018,01:00,CSC_CSECG1_2, 28.04,N
11/15/2018,01:00,CVC_CC1, 27.79,N
11/15/2018,01:00,CVC_CVCG1_5, 27.79,N
11/15/2018,01:00,CVC_CVC_G2, 27.79,N
11/15/2018,01:00,CVC_CVC_G3, 27.79,N
11/15/2018,01:00,DANSBY_ALL, 28.32,N
11/15/2018,01:00,DC2SES_ALL, 27.92,N
11/15/2018,01:00,DC_E, 27.94,N
11/15/2018,01:00,DC_L, 28.33,N
11/15/2018,01:00,DC_N, 27.98,N
11/15/2018,01:00,DC_R, 30.41,N
11/15/2018,01:00,DC_S, 27.91,N
11/15/2018,01:00,DDPEC_CC1, 27.75,N
11/15/2018,01:00,DDPEC_GT1, 27.75,N
11/15/2018,01:00,DDPEC_GT2, 27.75,N
11/15/2018,01:00,DDPEC_GT3, 27.75,N
11/15/2018,01:00,DDPEC_GT4, 27.75,N
11/15/2018,01:00,DDPEC_GT6, 27.75,N
11/15/2018,01:00,DDPEC_ST1, 27.75,N
11/15/2018,01:00,DECKER_DPG1, 27.91,N
11/15/2018,01:00,DECKER_DPG2, 27.91,N
11/15/2018,01:00,DECKER_GT, 27.91,N
11/15/2018,01:00,DENISON_G1_2, 27.95,N
11/15/2018,01:00,DERMOTT_ALL, 28.02,N
11/15/2018,01:00,DIB_CC1, 28.03,N
11/15/2018,01:00,DIB_DIB_G1, 28.03,N
11/15/2018,01:00,DIB_DIB_G2, 28.03,N
11/15/2018,01:00,DIB_DIB_G3, 28.03,N
11/15/2018,01:00,DIB_DIB_G4, 28.03,N
11/15/2018,01:00,DIB_PUN1, 28.03,N
11/15/2018,01:00,DIB_PUN2, 28.03,N
11/15/2018,01:00,DOWGEN_PUN1, 27.71,N
11/15/2018,01:00,DOWGEN_PUN2, 27.71,N
11/15/2018,01:00,DOWGEN_PUN3, 27.71,N
11/15/2018,01:00,DOW_61_2_63, 27.71,N
11/15/2018,01:00,DOW_64, 27.71,N
11/15/2018,01:00,DOW_81_2_84, 27.71,N
11/15/2018,01:00,DOW_G37_G35, 27.71,N
11/15/2018,01:00,DOW_G66_ST65, 27.71,N
11/15/2018,01:00,DOW_G67, 27.71,N
11/15/2018,01:00,DOW_G96_ST95, 27.71,N
11/15/2018,01:00,DUKE_CC1, 27.88,N
11/15/2018,01:00,DUKE_GST1CCU, 27.88,N
11/15/2018,01:00,DUKE_GT2_CCU, 27.88,N
11/15/2018,01:00,DUP_DUPV1_G1, 32.26,N
11/15/2018,01:00,DUP_PUN1, 32.26,N
11/15/2018,01:00,DUP_PUN2, 32.26,N
11/15/2018,01:00,DUP_PUN3, 32.26,N
11/15/2018,01:00,DUP_PUN4, 32.26,N
11/15/2018,01:00,ECLIPSE_UN1, 27.81,N
11/15/2018,01:00,ELB_ELBCREEK, 28.13,N
11/15/2018,01:00,ELECTRAW_1_2, 27.98,N
11/15/2018,01:00,ENAS_ENA1, 28.06,N
11/15/2018,01:00,ETCCS_CC1, 27.02,N
11/15/2018,01:00,ETCCS_CCU, 27.02,N
11/15/2018,01:00,EXGNSND_RN, 29.01,N
11/15/2018,01:00,EXGNWTL_1, 28.73,N
11/15/2018,01:00,EXN_14, 27.75,N
11/15/2018,01:00,EXN_1_3, 27.75,N
11/15/2018,01:00,EXN_4, 27.75,N
11/15/2018,01:00,EXN_8, 27.75,N
11/15/2018,01:00,EXN_9_13, 27.75,N
11/15/2018,01:00,EXN_PUN1, 27.75,N
11/15/2018,01:00,EXN_PUN2, 27.75,N
11/15/2018,01:00,EXN_PUN3, 27.75,N
11/15/2018,01:00,FAL_FALCONG1, 29.48,N
11/15/2018,01:00,FAL_FALCONG2, 29.48,N
11/15/2018,01:00,FAL_FALCONG3, 29.48,N
11/15/2018,01:00,FEGC_RN, 27.8,N
11/15/2018,01:00,FERGCC_CC1, 27.46,N
11/15/2018,01:00,FERGCC_GT1_1, 27.46,N
11/15/2018,01:00,FERGCC_GT2_3, 27.46,N
11/15/2018,01:00,FERGCC_ST1_5, 27.46,N
11/15/2018,01:00,FERMI_ALL, 27.67,N
11/15/2018,01:00,FLCNS_CC1, 28.18,N
11/15/2018,01:00,FLCNS_UNIT1, 28.18,N
11/15/2018,01:00,FLCNS_UNIT2, 28.18,N
11/15/2018,01:00,FLCNS_UNIT3, 28.18,N
11/15/2018,01:00,FLTCK_SSI, 27.93,N
11/15/2018,01:00,FLUVANNA_1_2, 28.03,N
11/15/2018,01:00,FORMOSA_CC1, 32.62,N
11/15/2018,01:00,FORMOSA_PUN1, 32.62,N
11/15/2018,01:00,FORMOSA_PUN2, 32.62,N
11/15/2018,01:00,FO_FORMOSA11, 32.62,N
11/15/2018,01:00,FO_FORMOSA12, 32.62,N
11/15/2018,01:00,FO_FORMOSG1, 32.62,N
11/15/2018,01:00,FO_FORMOSG10, 32.62,N
11/15/2018,01:00,FO_FORMOSG2, 32.62,N
11/15/2018,01:00,FO_FORMOSG3, 32.62,N
11/15/2018,01:00,FO_FORMOSG4, 32.62,N
11/15/2018,01:00,FO_FORMOSG5, 32.62,N
11/15/2018,01:00,FO_FORMOSG6, 32.62,N
11/15/2018,01:00,FO_FORMOSG7, 32.62,N
11/15/2018,01:00,FO_FORMOSG8, 32.62,N
11/15/2018,01:00,FO_FORMOSG9, 32.62,N
11/15/2018,01:00,FPPYD_FPP_G1, 23.21,N
11/15/2018,01:00,FPPYD_FPP_G2, 23.21,N
11/15/2018,01:00,FPPYD_FPP_G3, 23.21,N
11/15/2018,01:00,FREC_1_CCU, 27.83,N
11/15/2018,01:00,FREC_2_CCU, 27.85,N
11/15/2018,01:00,FREC_CC1, 27.83,N
11/15/2018,01:00,FREC_CC2, 27.85,N
11/15/2018,01:00,FRNYPP_1_CCU, 27.93,N
11/15/2018,01:00,FRNYPP_2_CCU, 27.93,N
11/15/2018,01:00,FRNYPP_CC1, 27.93,N
11/15/2018,01:00,FRNYPP_CC2, 27.93,N
11/15/2018,01:00,FTR_CC1, 27.8,N
11/15/2018,01:00,FTR_FTR_G1_4, 27.8,N
11/15/2018,01:00,FTWIND_UNIT1, 27.92,N
11/15/2018,01:00,GBY_GBY_5, 27.81,N
11/15/2018,01:00,GBY_GT, 27.81,N
11/15/2018,01:00,GIB_GIB_CRG1, 27.81,N
11/15/2018,01:00,GID_GIDEONG1, 27.97,N
11/15/2018,01:00,GID_GIDEONG2, 27.97,N
11/15/2018,01:00,GID_GIDEONG3, 27.97,N
11/15/2018,01:00,GOA_GOATWIND, 27.96,N
11/15/2018,01:00,GPASTURE_ALL, 27.98,N
11/15/2018,01:00,GRANDVW1_A_B, 27.99,N
11/15/2018,01:00,GRSES_UNIT1, 27.97,N
11/15/2018,01:00,GRSES_UNIT2, 27.98,N
11/15/2018,01:00,GUADG_CC1, 27.87,N
11/15/2018,01:00,GUADG_CC2, 27.87,N
11/15/2018,01:00,GUADG_CCU1, 27.87,N
11/15/2018,01:00,GUADG_CCU2, 27.87,N
11/15/2018,01:00,GUNMTN_NODE, 28.16,N
11/15/2018,01:00,GWEC_G1, 27.73,N
11/15/2018,01:00,HAYSEN1_2, 27.88,N
11/15/2018,01:00,HAYSEN3_4, 27.88,N
11/15/2018,01:00,HB_BUSAVG, 27.75,N
11/15/2018,01:00,HB_HOUSTON, 27.77,N
11/15/2018,01:00,HB_HUBAVG, 27.72,N
11/15/2018,01:00,HB_NORTH, 27.93,N
11/15/2018,01:00,HB_SOUTH, 27.12,N
11/15/2018,01:00,HB_WEST, 28.06,N
11/15/2018,01:00,HELIOS_RN, 28.02,N
11/15/2018,01:00,HHGT_KENDAL, 27.8,N
11/15/2018,01:00,HHOLLW2_WND1, 27.96,N
11/15/2018,01:00,HHOLLW3_WND1, 27.96,N
11/15/2018,01:00,HHOLLW4_WND1, 27.96,N
11/15/2018,01:00,HICK_G1_G2, 27.39,N
11/15/2018,01:00,HLSES_UNIT3, 28.14,N
11/15/2018,01:00,HLSES_UNIT4, 28.14,N
11/15/2018,01:00,HLSES_UNIT5, 28.14,N
11/15/2018,01:00,HORSECRK_RN, 27.97,N
11/15/2018,01:00,HOVEY_GEN, 45.35,N
11/15/2018,01:00,HRFDWIND_ALL, 27.99,N
11/15/2018,01:00,HWF_HWFG1, 27.99,N
11/15/2018,01:00,H_HOLLO_WND1, 27.96,N
11/15/2018,01:00,INDN_INDNNWP, 25.92,N
11/15/2018,01:00,IND_INADALE1, 28.02,N
11/15/2018,01:00,INGLCOSW_CC1, 33.51,N
11/15/2018,01:00,INGLCOSW_STG, 33.51,N
11/15/2018,01:00,INGLCOS_CTG1, 33.51,N
11/15/2018,01:00,INGLCOS_CTG2, 33.51,N
11/15/2018,01:00,INGLCO_PUN1, 33.51,N
11/15/2018,01:00,INGLCO_PUN2, 33.51,N
11/15/2018,01:00,INGLCO_PUN3, 33.51,N
11/15/2018,01:00,INKS_INKS_G1, 27.52,N
11/15/2018,01:00,IN_INDNENR, 26.09,N
11/15/2018,01:00,IN_INDNENR_2, 26.33,N
11/15/2018,01:00,JACKCNTY_CC1, 27.97,N
11/15/2018,01:00,JACKCNTY_CT1, 27.97,N
11/15/2018,01:00,JACKCNTY_CT2, 27.97,N
11/15/2018,01:00,JACKCNTY_STG, 27.97,N
11/15/2018,01:00,JCKCNTY2_CC1, 27.97,N
11/15/2018,01:00,JCKCNTY2_CT3, 27.97,N
11/15/2018,01:00,JCKCNTY2_CT4, 27.97,N
11/15/2018,01:00,JCKCNTY2_ST2, 27.97,N
11/15/2018,01:00,KEECHI_U1, 27.97,N
11/15/2018,01:00,KEO_KEO_SM1, 25.52,N
11/15/2018,01:00,KING_KINGNE, 26.39,N
11/15/2018,01:00,KING_KINGNW, 26.48,N
11/15/2018,01:00,KING_KINGSE, 26.39,N
11/15/2018,01:00,KING_KINGSW, 26.48,N
11/15/2018,01:00,KMCHI_CC1, 27.95,N
11/15/2018,01:00,KMCHI_CC2, 27.95,N
11/15/2018,01:00,LAMESASLR_G, 28.22,N
11/15/2018,01:00,LARDVFTN_G4, 28.33,N
11/15/2018,01:00,LARDVFTN_G5, 28.33,N
11/15/2018,01:00,LASSO_GEN, 69.48,N
11/15/2018,01:00,LEG_LEG_G1, 27.83,N
11/15/2018,01:00,LEG_LEG_G2, 27.83,N
11/15/2018,01:00,LEONLCPCT1_2, 27.9,N
11/15/2018,01:00,LEONLCPCT3_4, 27.9,N
11/15/2018,01:00,LFBIO_UNIT1, 27.87,N
11/15/2018,01:00,LGD_LANGFORD, 27.77,N
11/15/2018,01:00,LGE_CC1, 33.51,N
11/15/2018,01:00,LGE_LGE_GT1, 33.51,N
11/15/2018,01:00,LGE_LGE_GT2, 33.51,N
11/15/2018,01:00,LGE_LGE_STG, 33.51,N
11/15/2018,01:00,LGE_PUN1, 33.51,N
11/15/2018,01:00,LGE_PUN2, 33.51,N
11/15/2018,01:00,LGW_UNIT_ALL, 27.87,N
11/15/2018,01:00,LHM_CVC_G4, 27.8,N
11/15/2018,01:00,LHM_PUN1, 27.8,N
11/15/2018,01:00,LHM_PUN2, 27.8,N
11/15/2018,01:00,LHORN_N_U1_2, 27.99,N
11/15/2018,01:00,LHSES_UNIT1, 27.95,N
11/15/2018,01:00,LHSES_UNIT2, 27.95,N
11/15/2018,01:00,LNCRK_ALL, 27.99,N
11/15/2018,01:00,LONEWOLF_ALL, 28.05,N
11/15/2018,01:00,LOSTPI_CC1, 23.21,N
11/15/2018,01:00,LOS_LOSTPGT1, 23.21,N
11/15/2018,01:00,LOS_LOSTPGT2, 23.21,N
11/15/2018,01:00,LOS_LOSTPST1, 23.21,N
11/15/2018,01:00,LPCCS_CC1, 27.95,N
11/15/2018,01:00,LPCCS_CC2, 27.95,N
