DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
11/13/2018,7,3,AEEC,RN,36.57,N
11/13/2018,7,3,AMISTAD_ALL,RN,15.79,N
11/13/2018,7,3,AMOCOOIL_CC1,LCCRN,31.6,N
11/13/2018,7,3,AMOCOOIL_CC2,LCCRN,31.6,N
11/13/2018,7,3,AMOCO_PUN1,PUN,31.6,N
11/13/2018,7,3,AMOCO_PUN2,PUN,31.6,N
11/13/2018,7,3,AMO_AMOCO_1,PCCRN,31.6,N
11/13/2018,7,3,AMO_AMOCO_2,PCCRN,31.6,N
11/13/2018,7,3,AMO_AMOCO_5,PCCRN,31.6,N
11/13/2018,7,3,AMO_AMOCO_G1,PCCRN,31.6,N
11/13/2018,7,3,AMO_AMOCO_G2,PCCRN,31.6,N
11/13/2018,7,3,AMO_AMOCO_G3,PCCRN,31.6,N
11/13/2018,7,3,AMO_AMOCO_S1,PCCRN,31.6,N
11/13/2018,7,3,AMO_AMOCO_S2,PCCRN,31.6,N
11/13/2018,7,3,ANACACHO_ANA,RN,19.3,N
11/13/2018,7,3,ATK_ATKINSG7,RN,33.75,N
11/13/2018,7,3,AUSTPL_ALL,RN,36.33,N
11/13/2018,7,3,AZ_ALL,RN,31.9,N
11/13/2018,7,3,BAC_RN_ALL,RN,31.62,N
11/13/2018,7,3,BAFFIN_ALL,RN,24.78,N
11/13/2018,7,3,BASTEN_CC1,LCCRN,36.58,N
11/13/2018,7,3,BASTEN_CCU,PCCRN,36.58,N
11/13/2018,7,3,BBREEZE_1_2,RN,24.6,N
11/13/2018,7,3,BBSES_UNIT1,RN,34.71,N
11/13/2018,7,3,BBSES_UNIT2,RN,34.71,N
11/13/2018,7,3,BCATWD_WD_1,RN,36.55,N
11/13/2018,7,3,BFM_HYD_ST1,RN,31.76,N
11/13/2018,7,3,BLSMT1_5_A_6,RN,36.54,N
11/13/2018,7,3,BOOTLEG_UN1,RN,7.95,N
11/13/2018,7,3,BORDAS_345,RN,24.07,N
11/13/2018,7,3,BOSQUESW_CC1,LCCRN,34.94,N
11/13/2018,7,3,BOSQUESW_CC2,LCCRN,34.81,N
11/13/2018,7,3,BOSQ_BSQSU_5,PCCRN,34.81,N
11/13/2018,7,3,BOSQ_BSQS_12,PCCRN,34.81,N
11/13/2018,7,3,BOSQ_BSQS_34,PCCRN,34.94,N
11/13/2018,7,3,BRAUNIG_CC1,LCCRN,22.89,N
11/13/2018,7,3,BRAUNIG_VHB1,RN,24.94,N
11/13/2018,7,3,BRAUNIG_VHB2,RN,24.94,N
11/13/2018,7,3,BRAUNIG_VHB3,RN,24.94,N
11/13/2018,7,3,BRAZ_WND_ALL,RN,39.35,N
11/13/2018,7,3,BRA_AVR1_CT2,PCCRN,22.89,N
11/13/2018,7,3,BRA_AVR_CST1,PCCRN,22.89,N
11/13/2018,7,3,BRISCOE_WIND,RN,36.54,N
11/13/2018,7,3,BRTSW_BCW1,RN,36.41,N
11/13/2018,7,3,BR_VHB6CT5_6,RN,25.55,N
11/13/2018,7,3,BR_VHB6CT7_8,RN,25.55,N
11/13/2018,7,3,BSF_PUN1,PUN,30.98,N
11/13/2018,7,3,BSF_PUN2,PUN,30.98,N
11/13/2018,7,3,BTE_BTE_G1,PCCRN,31.94,N
11/13/2018,7,3,BTE_BTE_G2,PCCRN,31.94,N
11/13/2018,7,3,BTE_BTE_G3,PCCRN,31.94,N
11/13/2018,7,3,BTE_BTE_G4,PCCRN,31.94,N
11/13/2018,7,3,BTE_CC1,LCCRN,31.94,N
11/13/2018,7,3,BTE_PUN1,PUN,31.94,N
11/13/2018,7,3,BTE_PUN2,PUN,31.94,N
11/13/2018,7,3,BUCHAN_ALL,RN,34.57,N
11/13/2018,7,3,BUCKTHRN_RN,RN,35.79,N
11/13/2018,7,3,BUFF_GAP_ALL,RN,35.69,N
11/13/2018,7,3,BULLCRK_1_2,RN,39.11,N
11/13/2018,7,3,BVE_CC1,LCCRN,31.54,N
11/13/2018,7,3,BVE_UNIT1,PCCRN,31.54,N
11/13/2018,7,3,BVE_UNIT2,PCCRN,31.54,N
11/13/2018,7,3,BVE_UNIT3,PCCRN,31.54,N
11/13/2018,7,3,BYU_BYU_1,RN,31.75,N
11/13/2018,7,3,BYU_BYU_12,PCCRN,31.75,N
11/13/2018,7,3,BYU_BYU_34,PCCRN,31.75,N
11/13/2018,7,3,BYU_BYU_G8,PCCRN,31.75,N
11/13/2018,7,3,BYU_CC1,LCCRN,31.75,N
11/13/2018,7,3,BYU_PUN1,PUN,31.75,N
11/13/2018,7,3,BYU_PUN2,PUN,31.75,N
11/13/2018,7,3,BYU_PUN3,PUN,31.75,N
11/13/2018,7,3,BYU_PUN4,PUN,31.75,N
11/13/2018,7,3,B_DAVIS_3,PCCRN,25.1,N
11/13/2018,7,3,B_DAVIS_4,PCCRN,25.1,N
11/13/2018,7,3,B_DAVIS_CC1,LCCRN,25.1,N
11/13/2018,7,3,B_D_B_DAVIG1,RN,25.1,N
11/13/2018,7,3,B_D_B_DAVIG2,PCCRN,25.1,N
11/13/2018,7,3,CABEZON_ALL,RN,24.22,N
11/13/2018,7,3,CALAVER_JKS1,RN,22.78,N
11/13/2018,7,3,CALAVER_JKS2,RN,22.78,N
11/13/2018,7,3,CALAVER_JTD1,RN,23.94,N
11/13/2018,7,3,CALAVER_JTD2,RN,23.94,N
11/13/2018,7,3,CALAVER_OWS1,RN,24.52,N
11/13/2018,7,3,CALAVER_OWS2,RN,25.52,N
11/13/2018,7,3,CALHOUN_ALL,RN,27.69,N
11/13/2018,7,3,CALLAHA_WND1,RN,36.15,N
11/13/2018,7,3,CAL_ALL,RN,31.89,N
11/13/2018,7,3,CAL_CALGT1,PCCRN,31.89,N
11/13/2018,7,3,CAL_CALSTG1,PCCRN,31.89,N
11/13/2018,7,3,CAL_CC1,LCCRN,31.89,N
11/13/2018,7,3,CAL_PUN1,PUN,31.89,N
11/13/2018,7,3,CAL_PUN2,PUN,31.89,N
11/13/2018,7,3,CAMWIND_RN,RN,24.63,N
11/13/2018,7,3,CAPRIDG4_CR4,RN,34.74,N
11/13/2018,7,3,CAPRIDGE_ALL,RN,34.74,N
11/13/2018,7,3,CARBN_BSP_1,RN,53.27,N
11/13/2018,7,3,CASL_GAP_UN1,RN,7.79,N
11/13/2018,7,3,CBECII_1,PCCRN,31.12,N
11/13/2018,7,3,CBECII_2,PCCRN,31.12,N
11/13/2018,7,3,CBECII_CC3,LCCRN,31.12,N
11/13/2018,7,3,CBEC_ALL,PCCRN,31.45,N
