DeliveryDate,DeliveryHour,DeliveryInterval,SettlementPointName,SettlementPointType,SettlementPointPrice,DSTFlag
11/15/2018,8,1,AEEC,RN,43.01,N
11/15/2018,8,1,AMISTAD_ALL,RN,50.57,N
11/15/2018,8,1,AMOCOOIL_CC1,LCCRN,40.86,N
11/15/2018,8,1,AMOCOOIL_CC2,LCCRN,40.86,N
11/15/2018,8,1,AMOCO_PUN1,PUN,40.86,N
11/15/2018,8,1,AMOCO_PUN2,PUN,40.86,N
11/15/2018,8,1,AMO_AMOCO_1,PCCRN,40.86,N
11/15/2018,8,1,AMO_AMOCO_2,PCCRN,40.86,N
11/15/2018,8,1,AMO_AMOCO_5,PCCRN,40.86,N
11/15/2018,8,1,AMO_AMOCO_G1,PCCRN,40.86,N
11/15/2018,8,1,AMO_AMOCO_G2,PCCRN,40.86,N
11/15/2018,8,1,AMO_AMOCO_G3,PCCRN,40.86,N
11/15/2018,8,1,AMO_AMOCO_S1,PCCRN,40.86,N
11/15/2018,8,1,AMO_AMOCO_S2,PCCRN,40.86,N
11/15/2018,8,1,ANACACHO_ANA,RN,51.99,N
11/15/2018,8,1,ATK_ATKINSG7,RN,42.05,N
11/15/2018,8,1,AUSTPL_ALL,RN,44.02,N
11/15/2018,8,1,AZ_ALL,RN,41,N
11/15/2018,8,1,BAC_RN_ALL,RN,40.86,N
11/15/2018,8,1,BAFFIN_ALL,RN,84.35,N
11/15/2018,8,1,BASTEN_CC1,LCCRN,43.77,N
11/15/2018,8,1,BASTEN_CCU,PCCRN,43.77,N
11/15/2018,8,1,BBREEZE_1_2,RN,81.98,N
11/15/2018,8,1,BBSES_UNIT1,RN,42.51,N
11/15/2018,8,1,BBSES_UNIT2,RN,42.51,N
11/15/2018,8,1,BCATWD_WD_1,RN,42.91,N
11/15/2018,8,1,BFM_HYD_ST1,RN,40.92,N
11/15/2018,8,1,BLSMT1_5_A_6,RN,42.95,N
11/15/2018,8,1,BOOTLEG_UN1,RN,44.03,N
11/15/2018,8,1,BORDAS_345,RN,74.4,N
11/15/2018,8,1,BOSQUESW_CC1,LCCRN,42.74,N
11/15/2018,8,1,BOSQUESW_CC2,LCCRN,42.77,N
11/15/2018,8,1,BOSQ_BSQSU_5,PCCRN,42.77,N
11/15/2018,8,1,BOSQ_BSQS_12,PCCRN,42.77,N
11/15/2018,8,1,BOSQ_BSQS_34,PCCRN,42.74,N
11/15/2018,8,1,BRAUNIG_CC1,LCCRN,48.26,N
11/15/2018,8,1,BRAUNIG_VHB1,RN,47.45,N
11/15/2018,8,1,BRAUNIG_VHB2,RN,47.45,N
11/15/2018,8,1,BRAUNIG_VHB3,RN,47.45,N
11/15/2018,8,1,BRAZ_WND_ALL,RN,43.22,N
11/15/2018,8,1,BRA_AVR1_CT2,PCCRN,48.26,N
11/15/2018,8,1,BRA_AVR_CST1,PCCRN,48.26,N
11/15/2018,8,1,BRISCOE_WIND,RN,43,N
11/15/2018,8,1,BRTSW_BCW1,RN,42.81,N
11/15/2018,8,1,BR_VHB6CT5_6,RN,47.3,N
11/15/2018,8,1,BR_VHB6CT7_8,RN,47.3,N
11/15/2018,8,1,BSF_PUN1,PUN,40.2,N
11/15/2018,8,1,BSF_PUN2,PUN,40.2,N
11/15/2018,8,1,BTE_BTE_G1,PCCRN,41.04,N
11/15/2018,8,1,BTE_BTE_G2,PCCRN,41.04,N
11/15/2018,8,1,BTE_BTE_G3,PCCRN,41.04,N
11/15/2018,8,1,BTE_BTE_G4,PCCRN,41.04,N
11/15/2018,8,1,BTE_CC1,LCCRN,41.04,N
11/15/2018,8,1,BTE_PUN1,PUN,41.04,N
11/15/2018,8,1,BTE_PUN2,PUN,41.04,N
11/15/2018,8,1,BUCHAN_ALL,RN,28.74,N
11/15/2018,8,1,BUCKTHRN_RN,RN,42.65,N
11/15/2018,8,1,BUFF_GAP_ALL,RN,43.17,N
11/15/2018,8,1,BULLCRK_1_2,RN,43.26,N
11/15/2018,8,1,BVE_CC1,LCCRN,40.86,N
11/15/2018,8,1,BVE_UNIT1,PCCRN,40.86,N
11/15/2018,8,1,BVE_UNIT2,PCCRN,40.86,N
11/15/2018,8,1,BVE_UNIT3,PCCRN,40.86,N
11/15/2018,8,1,BYU_BYU_1,RN,40.92,N
11/15/2018,8,1,BYU_BYU_12,PCCRN,40.92,N
11/15/2018,8,1,BYU_BYU_34,PCCRN,40.92,N
11/15/2018,8,1,BYU_BYU_G8,PCCRN,40.92,N
11/15/2018,8,1,BYU_CC1,LCCRN,40.92,N
11/15/2018,8,1,BYU_PUN1,PUN,40.92,N
11/15/2018,8,1,BYU_PUN2,PUN,40.92,N
11/15/2018,8,1,BYU_PUN3,PUN,40.92,N
11/15/2018,8,1,BYU_PUN4,PUN,40.92,N
11/15/2018,8,1,B_DAVIS_3,PCCRN,127.06,N
11/15/2018,8,1,B_DAVIS_4,PCCRN,127.06,N
11/15/2018,8,1,B_DAVIS_CC1,LCCRN,127.06,N
11/15/2018,8,1,B_D_B_DAVIG1,RN,127.06,N
11/15/2018,8,1,B_D_B_DAVIG2,PCCRN,127.06,N
11/15/2018,8,1,CABEZON_ALL,RN,76.28,N
11/15/2018,8,1,CALAVER_JKS1,RN,48.59,N
11/15/2018,8,1,CALAVER_JKS2,RN,48.59,N
11/15/2018,8,1,CALAVER_JTD1,RN,47.64,N
11/15/2018,8,1,CALAVER_JTD2,RN,47.64,N
11/15/2018,8,1,CALAVER_OWS1,RN,47.51,N
11/15/2018,8,1,CALAVER_OWS2,RN,47.3,N
11/15/2018,8,1,CALHOUN_ALL,RN,-10.11,N
11/15/2018,8,1,CALLAHA_WND1,RN,43.09,N
11/15/2018,8,1,CAL_ALL,RN,41,N
11/15/2018,8,1,CAL_CALGT1,PCCRN,41,N
11/15/2018,8,1,CAL_CALSTG1,PCCRN,41,N
11/15/2018,8,1,CAL_CC1,LCCRN,41,N
11/15/2018,8,1,CAL_PUN1,PUN,41,N
11/15/2018,8,1,CAL_PUN2,PUN,41,N
11/15/2018,8,1,CAMWIND_RN,RN,82.68,N
11/15/2018,8,1,CAPRIDG4_CR4,RN,43.49,N
11/15/2018,8,1,CAPRIDGE_ALL,RN,43.49,N
11/15/2018,8,1,CARBN_BSP_1,RN,43.36,N
11/15/2018,8,1,CASL_GAP_UN1,RN,43.99,N
11/15/2018,8,1,CBECII_1,PCCRN,40.77,N
11/15/2018,8,1,CBECII_2,PCCRN,40.77,N
11/15/2018,8,1,CBECII_CC3,LCCRN,40.77,N
11/15/2018,8,1,CBEC_ALL,PCCRN,37.96,N
11/15/2018,8,1,CBEC_CC1,LCCRN,37.96,N
11/15/2018,8,1,CBEC_CC2,LCCRN,37.96,N
11/15/2018,8,1,CBY4_ALL,PCCRN,41.03,N
11/15/2018,8,1,CBY4_CC1,LCCRN,41.03,N
11/15/2018,8,1,CBY_CBY_G1,RN,41.03,N
11/15/2018,8,1,CBY_CBY_G2,RN,41.01,N
11/15/2018,8,1,CCEC_CC1,LCCRN,128.61,N
11/15/2018,8,1,CCEC_GT1,PCCRN,128.61,N
11/15/2018,8,1,CCEC_GT2,PCCRN,128.61,N
11/15/2018,8,1,CCEC_PUN1,PUN,128.61,N
11/15/2018,8,1,CCEC_PUN2,PUN,128.61,N
11/15/2018,8,1,CCEC_ST1,PCCRN,128.61,N
11/15/2018,8,1,CEDROHI_CHW1,RN,77.51,N
11/15/2018,8,1,CFLATS_UNIT,RN,41.6,N
11/15/2018,8,1,CHAMON_UN1,RN,41.08,N
11/15/2018,8,1,CHAMON_UN2,RN,41.08,N
11/15/2018,8,1,CHEDPW_GT2,PCCRN,41.09,N
11/15/2018,8,1,CHE_CC1,LCCRN,41.04,N
11/15/2018,8,1,CHE_LYD,PCCRN,41.01,N
11/15/2018,8,1,CHE_LYD2,PCCRN,41.01,N
11/15/2018,8,1,CHE_PUN1,PUN,41.01,N
11/15/2018,8,1,CHE_PUN2,PUN,41.01,N
11/15/2018,8,1,COL_COLETOG1,RN,22.03,N
11/15/2018,8,1,COTPLNS_RN,RN,43.01,N
11/15/2018,8,1,COTTON_PAP2,RN,130.27,N
11/15/2018,8,1,CPSES_UNIT1,RN,42.76,N
11/15/2018,8,1,CPSES_UNIT2,RN,42.76,N
11/15/2018,8,1,CSC_CSECG1_2,RN,43.2,N
11/15/2018,8,1,CVC_CC1,LCCRN,41.09,N
11/15/2018,8,1,CVC_CVCG1_5,PCCRN,41.09,N
11/15/2018,8,1,CVC_CVC_G2,PCCRN,41.09,N
11/15/2018,8,1,CVC_CVC_G3,PCCRN,41.09,N
11/15/2018,8,1,DANSBY_ALL,RN,42.11,N
11/15/2018,8,1,DC2SES_ALL,RN,42.73,N
11/15/2018,8,1,DC_E,LZ_DCEW,42.7,N
11/15/2018,8,1,DC_E,LZ_DC,42.7,N
11/15/2018,8,1,DC_L,LZ_DCEW,70.85,N
11/15/2018,8,1,DC_L,LZ_DC,70.85,N
11/15/2018,8,1,DC_N,LZ_DCEW,42.94,N
11/15/2018,8,1,DC_N,LZ_DC,42.94,N
11/15/2018,8,1,DC_R,LZ_DCEW,80.88,N
11/15/2018,8,1,DC_R,LZ_DC,80.88,N
11/15/2018,8,1,DC_S,LZ_DCEW,54.61,N
11/15/2018,8,1,DC_S,LZ_DC,54.61,N
11/15/2018,8,1,DDPEC_CC1,LCCRN,40.96,N
11/15/2018,8,1,DDPEC_GT1,PCCRN,40.96,N
11/15/2018,8,1,DDPEC_GT2,PCCRN,40.96,N
11/15/2018,8,1,DDPEC_GT3,PCCRN,40.96,N
11/15/2018,8,1,DDPEC_GT4,PCCRN,40.96,N
11/15/2018,8,1,DDPEC_GT6,PCCRN,40.96,N
11/15/2018,8,1,DDPEC_ST1,PCCRN,40.96,N
11/15/2018,8,1,DECKER_DPG1,RN,43.87,N
11/15/2018,8,1,DECKER_DPG2,RN,43.87,N
11/15/2018,8,1,DECKER_GT,RN,43.64,N
11/15/2018,8,1,DENISON_G1_2,RN,42.73,N
11/15/2018,8,1,DERMOTT_ALL,RN,43.15,N
11/15/2018,8,1,DIB_CC1,LCCRN,40.95,N
11/15/2018,8,1,DIB_DIB_G1,PCCRN,40.95,N
11/15/2018,8,1,DIB_DIB_G2,PCCRN,40.95,N
11/15/2018,8,1,DIB_DIB_G3,PCCRN,40.95,N
11/15/2018,8,1,DIB_DIB_G4,PCCRN,40.95,N
11/15/2018,8,1,DIB_PUN1,PUN,40.95,N
11/15/2018,8,1,DIB_PUN2,PUN,40.95,N
11/15/2018,8,1,DOWGEN_PUN1,PUN,40.51,N
11/15/2018,8,1,DOWGEN_PUN2,PUN,40.51,N
11/15/2018,8,1,DOWGEN_PUN3,PUN,40.51,N
11/15/2018,8,1,DOW_61_2_63,RN,40.51,N
11/15/2018,8,1,DOW_64,RN,40.51,N
11/15/2018,8,1,DOW_81_2_84,RN,40.51,N
11/15/2018,8,1,DOW_G37_G35,RN,40.51,N
11/15/2018,8,1,DOW_G66_ST65,RN,40.51,N
11/15/2018,8,1,DOW_G67,RN,40.51,N
11/15/2018,8,1,DOW_G96_ST95,RN,40.51,N
11/15/2018,8,1,DUKE_CC1,LCCRN,81.12,N
11/15/2018,8,1,DUKE_GST1CCU,PCCRN,81.12,N
11/15/2018,8,1,DUKE_GT2_CCU,PCCRN,81.12,N
11/15/2018,8,1,DUP_DUPV1_G1,RN,-23.81,N
11/15/2018,8,1,DUP_PUN1,PUN,-23.81,N
11/15/2018,8,1,DUP_PUN2,PUN,-23.81,N
11/15/2018,8,1,DUP_PUN3,PUN,-23.81,N
11/15/2018,8,1,DUP_PUN4,PUN,-23.81,N
11/15/2018,8,1,ECLIPSE_UN1,RN,51.56,N
11/15/2018,8,1,ELB_ELBCREEK,RN,43.41,N
11/15/2018,8,1,ELECTRAW_1_2,RN,42.94,N
11/15/2018,8,1,ENAS_ENA1,RN,43.25,N
11/15/2018,8,1,ETCCS_CC1,LCCRN,42.65,N
11/15/2018,8,1,ETCCS_CCU,PCCRN,42.65,N
11/15/2018,8,1,EXGNSND_RN,RN,74.96,N
11/15/2018,8,1,EXGNWTL_1,RN,77.51,N
11/15/2018,8,1,EXN_14,RN,41.02,N
11/15/2018,8,1,EXN_1_3,RN,41.02,N
11/15/2018,8,1,EXN_4,RN,41.02,N
11/15/2018,8,1,EXN_8,RN,41.02,N
11/15/2018,8,1,EXN_9_13,RN,41.02,N
11/15/2018,8,1,EXN_PUN1,PUN,41.02,N
11/15/2018,8,1,EXN_PUN2,PUN,41.02,N
11/15/2018,8,1,EXN_PUN3,PUN,41.02,N
11/15/2018,8,1,FAL_FALCONG1,RN,77.76,N
11/15/2018,8,1,FAL_FALCONG2,RN,77.76,N
11/15/2018,8,1,FAL_FALCONG3,RN,77.76,N
11/15/2018,8,1,FEGC_RN,RN,40.78,N
11/15/2018,8,1,FERGCC_CC1,LCCRN,25.92,N
11/15/2018,8,1,FERGCC_GT1_1,PCCRN,25.92,N
11/15/2018,8,1,FERGCC_GT2_3,PCCRN,25.92,N
11/15/2018,8,1,FERGCC_ST1_5,PCCRN,25.92,N
11/15/2018,8,1,FERMI_ALL,RN,48.89,N
11/15/2018,8,1,FLCNS_CC1,LCCRN,43.38,N
11/15/2018,8,1,FLCNS_UNIT1,PCCRN,43.38,N
11/15/2018,8,1,FLCNS_UNIT2,PCCRN,43.38,N
11/15/2018,8,1,FLCNS_UNIT3,PCCRN,43.38,N
11/15/2018,8,1,FLTCK_SSI,RN,42.69,N
11/15/2018,8,1,FLUVANNA_1_2,RN,43.17,N
11/15/2018,8,1,FORMOSA_CC1,LCCRN,-8.82,N
11/15/2018,8,1,FORMOSA_PUN1,PUN,-8.82,N
11/15/2018,8,1,FORMOSA_PUN2,PUN,-8.82,N
11/15/2018,8,1,FO_FORMOSA11,RN,-8.82,N
11/15/2018,8,1,FO_FORMOSA12,RN,-8.82,N
11/15/2018,8,1,FO_FORMOSG1,PCCRN,-8.82,N
11/15/2018,8,1,FO_FORMOSG10,PCCRN,-8.82,N
11/15/2018,8,1,FO_FORMOSG2,PCCRN,-8.82,N
11/15/2018,8,1,FO_FORMOSG3,PCCRN,-8.82,N
11/15/2018,8,1,FO_FORMOSG4,PCCRN,-8.82,N
11/15/2018,8,1,FO_FORMOSG5,PCCRN,-8.82,N
11/15/2018,8,1,FO_FORMOSG6,PCCRN,-8.82,N
11/15/2018,8,1,FO_FORMOSG7,PCCRN,-8.82,N
11/15/2018,8,1,FO_FORMOSG8,RN,-8.82,N
11/15/2018,8,1,FO_FORMOSG9,PCCRN,-8.82,N
11/15/2018,8,1,FPPYD_FPP_G1,RN,41.74,N
11/15/2018,8,1,FPPYD_FPP_G2,RN,41.74,N
11/15/2018,8,1,FPPYD_FPP_G3,RN,41.74,N
11/15/2018,8,1,FREC_1_CCU,PCCRN,42.55,N
11/15/2018,8,1,FREC_2_CCU,PCCRN,42.5,N
11/15/2018,8,1,FREC_CC1,LCCRN,42.55,N
11/15/2018,8,1,FREC_CC2,LCCRN,42.5,N
11/15/2018,8,1,FRNYPP_1_CCU,PCCRN,42.68,N
11/15/2018,8,1,FRNYPP_2_CCU,PCCRN,42.68,N
11/15/2018,8,1,FRNYPP_CC1,LCCRN,42.68,N
11/15/2018,8,1,FRNYPP_CC2,LCCRN,42.68,N
11/15/2018,8,1,FTR_CC1,LCCRN,41.5,N
11/15/2018,8,1,FTR_FTR_G1_4,PCCRN,41.5,N
11/15/2018,8,1,FTWIND_UNIT1,RN,42.67,N
11/15/2018,8,1,GBY_GBY_5,RN,41.03,N
11/15/2018,8,1,GBY_GT,RN,40.96,N
11/15/2018,8,1,GIB_GIB_CRG1,RN,41.59,N
11/15/2018,8,1,GID_GIDEONG1,RN,42.12,N
11/15/2018,8,1,GID_GIDEONG2,RN,42.12,N
11/15/2018,8,1,GID_GIDEONG3,RN,42.12,N
11/15/2018,8,1,GOA_GOATWIND,RN,43.46,N
11/15/2018,8,1,GPASTURE_ALL,RN,43,N
