DeliveryDate,HourEnding,SettlementPoint,SettlementPointPrice,DSTFlag
11/13/2018,1:00,AEEC,19.7,N
11/13/2018,1:00,AMISTAD_ALL,20.12,N
11/13/2018,1:00,AMOCOOIL_CC1,22.45,N
11/13/2018,1:00,AMOCOOIL_CC2,22.45,N
11/13/2018,1:00,AMOCO_PUN1,22.45,N
11/13/2018,1:00,AMOCO_PUN2,22.45,N
11/13/2018,1:00,AMO_AMOCO_1,22.45,N
11/13/2018,1:00,AMO_AMOCO_2,22.45,N
11/13/2018,1:00,AMO_AMOCO_5,22.45,N
11/13/2018,1:00,AMO_AMOCO_G1,22.45,N
11/13/2018,1:00,AMO_AMOCO_G2,22.45,N
11/13/2018,1:00,AMO_AMOCO_G3,22.45,N
11/13/2018,1:00,AMO_AMOCO_S1,22.45,N
11/13/2018,1:00,AMO_AMOCO_S2,22.45,N
11/13/2018,1:00,ANACACHO_ANA,20.37,N
11/13/2018,1:00,ATK_ATKINSG7,22.17,N
11/13/2018,1:00,AUSTPL_ALL,20.05,N
11/13/2018,1:00,AZ_ALL,20.6,N
11/13/2018,1:00,BAC_RN_ALL,22.1,N
11/13/2018,1:00,BAFFIN_ALL,17.53,N
11/13/2018,1:00,BASTEN_CC1,20.04,N
11/13/2018,1:00,BASTEN_CCU,20.04,N
11/13/2018,1:00,BBREEZE_1_2,16.47,N
11/13/2018,1:00,BBSES_UNIT1,20.49,N
11/13/2018,1:00,BBSES_UNIT2,20.49,N
11/13/2018,1:00,BCATWD_WD_1,19.58,N
11/13/2018,1:00,BFM_HYD_ST1,20.63,N
11/13/2018,1:00,BLSMT1_5_A_6,19.75,N
11/13/2018,1:00,BOOTLEG_UN1,19.31,N
11/13/2018,1:00,BORDAS_345,21.21,N
11/13/2018,1:00,BOSQUESW_CC1,20.16,N
11/13/2018,1:00,BOSQUESW_CC2,19.95,N
11/13/2018,1:00,BOSQ_BSQSU_5,19.95,N
11/13/2018,1:00,BOSQ_BSQS_12,19.95,N
11/13/2018,1:00,BOSQ_BSQS_34,20.16,N
11/13/2018,1:00,BRAUNIG_CC1,19.94,N
11/13/2018,1:00,BRAUNIG_VHB1,20.47,N
11/13/2018,1:00,BRAUNIG_VHB2,20.47,N
11/13/2018,1:00,BRAUNIG_VHB3,20.42,N
11/13/2018,1:00,BRAZ_WND_ALL,19.76,N
11/13/2018,1:00,BRA_AVR1_CT2,19.94,N
11/13/2018,1:00,BRA_AVR_CST1,19.94,N
11/13/2018,1:00,BRISCOE_WIND,19.71,N
11/13/2018,1:00,BRTSW_BCW1,19.5,N
11/13/2018,1:00,BR_VHB6CT5_6,20.47,N
11/13/2018,1:00,BR_VHB6CT7_8,20.47,N
11/13/2018,1:00,BSF_PUN1,20.17,N
11/13/2018,1:00,BSF_PUN2,20.17,N
11/13/2018,1:00,BTE_BTE_G1,20.51,N
11/13/2018,1:00,BTE_BTE_G2,20.51,N
11/13/2018,1:00,BTE_BTE_G3,20.51,N
11/13/2018,1:00,BTE_BTE_G4,20.51,N
11/13/2018,1:00,BTE_CC1,20.51,N
11/13/2018,1:00,BTE_PUN1,20.51,N
11/13/2018,1:00,BTE_PUN2,20.51,N
11/13/2018,1:00,BUCHAN_ALL,19.07,N
11/13/2018,1:00,BUCKTHRN_RN,19.47,N
11/13/2018,1:00,BUFF_GAP_ALL,19.64,N
11/13/2018,1:00,BULLCRK_1_2,19.73,N
11/13/2018,1:00,BVE_CC1,20.38,N
11/13/2018,1:00,BVE_UNIT1,20.38,N
11/13/2018,1:00,BVE_UNIT2,20.38,N
11/13/2018,1:00,BVE_UNIT3,20.38,N
11/13/2018,1:00,BYU_BYU_1,20.63,N
11/13/2018,1:00,BYU_BYU_12,20.63,N
11/13/2018,1:00,BYU_BYU_34,20.63,N
11/13/2018,1:00,BYU_BYU_G8,20.64,N
11/13/2018,1:00,BYU_CC1,20.63,N
11/13/2018,1:00,BYU_PUN1,20.63,N
11/13/2018,1:00,BYU_PUN2,20.63,N
11/13/2018,1:00,BYU_PUN3,20.63,N
11/13/2018,1:00,BYU_PUN4,20.63,N
11/13/2018,1:00,B_DAVIS_3,26.76,N
11/13/2018,1:00,B_DAVIS_4,26.28,N
11/13/2018,1:00,B_DAVIS_CC1,26.76,N
11/13/2018,1:00,B_D_B_DAVIG1,26.76,N
11/13/2018,1:00,B_D_B_DAVIG2,26.28,N
11/13/2018,1:00,CABEZON_ALL,21.22,N
11/13/2018,1:00,CALAVER_JKS1,19.96,N
11/13/2018,1:00,CALAVER_JKS2,19.96,N
11/13/2018,1:00,CALAVER_JTD1,20.31,N
11/13/2018,1:00,CALAVER_JTD2,20.31,N
11/13/2018,1:00,CALAVER_OWS1,20.45,N
11/13/2018,1:00,CALAVER_OWS2,20.45,N
11/13/2018,1:00,CALHOUN_ALL,24.52,N
11/13/2018,1:00,CALLAHA_WND1,19.65,N
11/13/2018,1:00,CAL_ALL,20.62,N
11/13/2018,1:00,CAL_CALGT1,20.62,N
11/13/2018,1:00,CAL_CALSTG1,20.62,N
11/13/2018,1:00,CAL_CC1,20.62,N
11/13/2018,1:00,CAL_PUN1,20.62,N
11/13/2018,1:00,CAL_PUN2,20.62,N
11/13/2018,1:00,CAMWIND_RN,16.83,N
11/13/2018,1:00,CAPRIDG4_CR4,19.69,N
11/13/2018,1:00,CAPRIDGE_ALL,19.69,N
11/13/2018,1:00,CARBN_BSP_1,20.38,N
11/13/2018,1:00,CASL_GAP_UN1,19.81,N
11/13/2018,1:00,CBECII_1,20.27,N
11/13/2018,1:00,CBECII_2,20.27,N
11/13/2018,1:00,CBECII_CC3,20.27,N
11/13/2018,1:00,CBEC_ALL,20.36,N
11/13/2018,1:00,CBEC_CC1,20.36,N
11/13/2018,1:00,CBEC_CC2,20.36,N
11/13/2018,1:00,CBY4_ALL,20.51,N
11/13/2018,1:00,CBY4_CC1,20.51,N
11/13/2018,1:00,CBY_CBY_G1,20.53,N
11/13/2018,1:00,CBY_CBY_G2,20.56,N
11/13/2018,1:00,CCEC_CC1,24.77,N
11/13/2018,1:00,CCEC_GT1,24.77,N
11/13/2018,1:00,CCEC_GT2,24.77,N
11/13/2018,1:00,CCEC_PUN1,24.77,N
11/13/2018,1:00,CCEC_PUN2,24.77,N
11/13/2018,1:00,CCEC_ST1,24.77,N
11/13/2018,1:00,CEDROHI_CHW1,9.22,N
11/13/2018,1:00,CFLATS_UNIT,15.35,N
11/13/2018,1:00,CHAMON_UN1,20.55,N
11/13/2018,1:00,CHAMON_UN2,20.55,N
11/13/2018,1:00,CHEDPW_GT2,20.54,N
11/13/2018,1:00,CHE_CC1,20.58,N
11/13/2018,1:00,CHE_LYD,20.62,N
11/13/2018,1:00,CHE_LYD2,20.62,N
11/13/2018,1:00,CHE_PUN1,20.62,N
11/13/2018,1:00,CHE_PUN2,20.62,N
11/13/2018,1:00,COL_COLETOG1,19.54,N
11/13/2018,1:00,COTPLNS_RN,19.7,N
11/13/2018,1:00,COTTON_PAP2,25.2,N
11/13/2018,1:00,CPSES_UNIT1,18.29,N
11/13/2018,1:00,CPSES_UNIT2,18.29,N
11/13/2018,1:00,CSC_CSECG1_2,19.75,N
11/13/2018,1:00,CVC_CC1,20.54,N
